year,award_no,date,location,pressented_by,category,honorary_reason,film,song,winner,speech
1997,70,1998-03-23,Shrine Auditorium & Expo Center,Geoffrey Rush,Actress in a Leading Role,NA,As Good as It Gets,NA,Helen Hunt,"HELEN HUNT:
 The first time I saw ""Mrs. Brown"" -- saw it three times. The first time I saw it, I leaned over to my beloved and said, ""She's [Judi Dench] going to win an Academy Award."" And in my mind tonight she has. And so has Julie Christie, and so has Helena Bonham Carter, and so has Kate Winslet. And for that matter so has Billy Connolly, and so has Ben Affleck, and so has Joan Allen. And I am honored to work in a year when there were so many magnificent performances.

 I am here for one reason and that's Jim Brooks. One single reason, and that's the only reason really. That's the only reason. I thank -- I am tired of thanking you -- I thank God for giving me a little piece of you. Jack, I worship you, you know it. Greg, I hope you hold in your heart how beautiful your performance in this movie was. I would like to thank our producers Bridget Johnson, Kristi Zea, Larry Mark. Everyone at Sony. The team of experts it took to make me available for this movie. My acting teachers Lurene Tuttle, wherever you are, Gordon Hunt, Larry Moss, Gary Austin, for giving me a way to learn about myself and the world, and a way to express myself. I hate to think who I would be without that. My parents, who are sobbing at this point. My friends, who are at home jumping up and down. And you [Hank Azaria], the very, just the very best man I know. Thank you so much. This is a magnificent honor. Thank you very much.
"
1997,70,1998-03-23,Shrine Auditorium & Expo Center,"Cuba Gooding, Jr.",Actress in a Supporting Role,NA,L.A. Confidential,NA,Kim Basinger,"KIM BASINGER:
 Oh my God! Thank you! Thank you! Thank you! Wait a minute, we did only get thirty seconds, and to give a thousand thank you's. I just want to thank everybody I have ever met in my entire life. Curtis Hanson, Curtis Hanson, Curtis Hanson. The cast and crew from the movie. I could not have done this without them. Annett Wolf, my great friend Georgia, my sister Ashley, my husband Alec, my baby girl Ireland. If anyone has a dream out there, just know that I am living proof that they do come true. Thank you so much to the Academy. I am so grateful for this. And Daddy, this is for you.
"
1997,70,1998-03-23,Shrine Auditorium & Expo Center,Meg Ryan,Art Direction,NA,Titanic,NA,Art Direction: Peter Lamont; Set Decoration: Michael Ford,"PETER LAMONT:
 It's only once in a lifetime you get to recreate ""Titanic."" The day I left ""Titanic"" Jim said to me, ""It's been a hell of a trip."" Believe me, it was. Jim, Jon, Rae, and my wife, thank you for your support during the whole production. Finally, I am only as good as the crew around me. Ladies and gentlemen, you were the best. Thank you.

 MICHAEL FORD:
 I would just like to thank two of my chief prop supports, Richard and Barry. Without them I think I would have fallen or drowned, I don't know which. Thank you. And thank you, Jim.
"
1997,70,1998-03-23,Shrine Auditorium & Expo Center,Denzel Washington,Cinematography,NA,Titanic,NA,Russell Carpenter,"RUSSELL CARPENTER:
 Thank you so much. We're running so late this is becoming sort of a ""Depends"" moment for me. I want to remind everybody that it was only a year ago exactly to this day that we wrapped principal photography on ""Titanic."" And what a year it's been. It's gone from being a ship of fools to a ship of dreams. And that's Jim, Jim all the way. He stuck to his guns. Thank you, Jim. I want to thank my crew that kicked some serious stern, and I love them for it. And my wife Patricia, you save me in every way a person could be saved. Thank you. I love you.
"
1997,70,1998-03-23,Shrine Auditorium & Expo Center,Elisabeth Shue,Costume Design,NA,Titanic,NA,Deborah L. Scott,"DEBORAH L. SCOTT:
 Thank you very much to the Academy. I am deeply honored to accept this award on the behalf of David LeVey, Beth Koenigsberg, Lahly Poore, Matt Reitsma, Dale Wibben, Dominic Gherardi, Jean Gold, and the rest of my remarkable costume crew. Their dedication, talent, friendship and guidance helped fulfill my dream to bring the spirit of Titanic and her passengers to life. Thank you, Jim Cameron, for the first-class passage. Thanks, Jon Landau and Rae Sanchini, for such fine navigation. For my parents, my husband, and finally my two daughters Tess and Hana, whose beauty is my greatest inspiration, thank you.
"
1997,70,1998-03-23,Shrine Auditorium & Expo Center,Warren Beatty,Directing,NA,Titanic,NA,James Cameron,"JAMES CAMERON:
 I don't know about you but I'm having a really great time. Every director that ever stood up here had his cast to thank, and I had a killer cast. They really threw down for me. So, Kate, Gloria, Leo, Kathy, Frances and Billy, Bill, Suzy, Lewis, and about eighty others, you guys gave me pure gold every day and I share this gold with you. Everybody else that I was going to thank either got an Oscar or a nomination so they're covered, except for my fellow producers Rae Sanchini and Jon Landau; Josh McLaglen; Rod Lurie; my brother Mike Cameron, who built the deep diving camera system. My lovely wife Linda, our two beautiful children, Dalton and Josephine. And my original producers, my parents, who are here tonight, Phillip and Shirley Cameron. Mom, Dad, there is no way that I can express to you what I'm feeling right now, my heart is full to bursting, except to say, ""I'm the king of the world!""
"
1997,70,1998-03-23,Shrine Auditorium & Expo Center,Robert De Niro,Documentary (Feature),NA,The Long Way Home,NA,"Rabbi Marvin Hier, Richard Trank","RABBI MARVIN HIER:
 I'd like to thank the Academy, the Board of Trustees of the Simon Wiesenthal Center, the patrons and benefactors of Moriah Films, our resident film division. This is for the survivors of the Holocaust who walked away from the ashes, rebuilt their lives, and helped create the state of Israel. God bless them.

 RICHARD TRANK:
 Thank you, Morgan Freeman. Thank you, Mark Jonathan Harris. Thank you, Martin Landau, Ed Asner, Nina Siemaszko, Helen Slater, Miriam Margolyes. My wonderful Pam, Josh and Emily. Thank you.
"
1997,70,1998-03-23,Shrine Auditorium & Expo Center,Djimon Hounsou,Documentary (Short Subject),NA,A Story of Healing,NA,"Donna Dewey, Carol Pasternak","DONNA DEWEY:
 Carol and I would like to thank the Academy for recognizing the selfless efforts of the doctors and nurses of Interplast. They've changed the lives of thousands of children all over the world. We'd like to thank everyone who made this film possible. Chuck, and Mark, and Susan, and our crew. Rock, and Rich, and Bob, and our editor David. And I'd like to send my love to my love Mike for teaching me perspective, and to my son Brian for teaching me persistence. Thank you.

 CAROL PASTERNAK:
 Thank you! Thank you!
"
1997,70,1998-03-23,Shrine Auditorium & Expo Center,Samuel L. Jackson,Film Editing,NA,Titanic,NA,"Conrad Buff, James Cameron, Richard A. Harris","CONRAD BUFF:
 Thank you, Academy, very much. It means a great deal to all three of us. Thank you, 20th Century Fox, Paramount Pictures, our wonderful producers Rae Sanchini, James Cameron, Jon Landau. My lovely wife Laura.

 RICHARD A. HARRIS:
 To my friends in Santa Ynez. Thanks to our associate editor Roger Barton, our associate producer [and] my lovely wife Pamela Easley, and our co-editor Jim Cameron.

 JAMES CAMERON:
 Thanks. For my daughter Josephine, who's five years old watching at home. Honey, this is the thing I described to you. It's called an Oscar, and it's really cool to get.
"
1997,70,1998-03-23,Shrine Auditorium & Expo Center,Sharon Stone,Foreign Language Film,NA,Character,NA,The Netherlands,"MIKE VAN DIEM:
 [Gives presenter Sharon Stone a hug.] Okay, Sharon, it's just, you know, another crazy Dutch director, you know. The film is ""Character."" It opens next Friday. I'm not going to advertise it. This ought to tell you that it probably has, you know, like damn stunning subtitles. Three guys who over a period of the last two years really build my ""Character"" -- yes, you are signaling to me to be fast, I'll be fast -- build my ""Character"" were my great and wonderful, handsome producer Laurens Geels, my young, talented actor Fedja van Huêt, and the legendary Jan Decleir -- he's really Belgium's ""Titanic."" I will salute everybody. My crew and my cast, who is watching this at home. [Unintelligible], Sony Pictures Classics, the Academy. And as a personal note, my dear friend Coen van Vrijberghe de Coningh, I just know you are smiling down on me now, man. Look what I got! Yes!
"
1997,70,1998-03-23,Shrine Auditorium & Expo Center,Drew Barrymore,Makeup,NA,Men in Black,NA,"Rick Baker, David LeRoy Anderson","RICK BAKER:
 We'd like to thank the Academy, Columbia, Amblin, Steven Spielberg, Barry Sonnenfeld. Walter, Laurie, Graham and Steve Molen, for making the film. Don Peterman, for his photography -- get well, Don. A special thanks to my crew. I'm honored to work with such talented artists. You're only as good as your crew, and I guess this means I have a damn good crew. Vincent D'Onofrio and Tony Shalhoub, for their patience and cooperation. Vincent was incredibly patient while David and I practically tortured him. Lastly, I'd like to thank my wife Silvia, and my daughters Veronica and Rebecca for their love and support and for teaching me the meaning of joy. I love you guys very much. Thank you.
"
1997,70,1998-03-23,Shrine Auditorium & Expo Center,Antonio Banderas,Music (Original Dramatic Score),NA,Titanic,NA,James Horner,"JAMES HORNER:
 Oh my dear God. I'm sort of speechless. One wants this to happen, of course, but I've been so close quite a few times but never actually won. I've got to get my wits about me. I don't write speeches because I'm always so superstitious. I want to thank my wife, my family for all of their support and nourishment. Jim, thank you so much for the chance to do it. And the musicians who I know so well, and so many other people but I have so little time. I want to thank Michael Gorfaine, Jim Henrikson, but Michael Gorfaine especially. You've been around so long and I cannot thank you enough. Thanks, everybody.
"
1997,70,1998-03-23,Shrine Auditorium & Expo Center,Jennifer Lopez,Music (Original Musical or Comedy Score),NA,The Full Monty,NA,Anne Dudley,"ANNE DUDLEY:
 Thank you very much. This is a great honor. It's great to be here; it's wonderful. It's been amazing being part of the success of ""The Full Monty"" over the past year. Nobody, of course, works alone on a film, and I'd really like to thank Peter Cattaneo and Uberto Pasolini for their brilliance and inspiration and encouragement. And the musicians who played the music and brought it to life. Thank you very much.
"
1997,70,1998-03-23,Shrine Auditorium & Expo Center,Madonna,Music (Original Song),NA,Titanic,"""My Heart Will Go On""",Music by James Horner; Lyric by Will Jennings,"JAMES HORNER:
 I want to thank, first of all, Rene and Celine for a marvelous, brilliant job. Thank you so much. I cannot thank you enough. Jim Cameron, thank you for being in a good mood that day when I brought you the song. Peter Gelb, Glen Brunman, Sony 550, thank you. And Glen, thank you.

 WILL JENNINGS:
 I thank James for his music. And love to my wife Carole. And to all the people all over the world that took ""My Heart Will Go On"" to their hearts, we're very happy.

 JAMES HORNER:
 Thank you all.
"
1997,70,1998-03-23,Shrine Auditorium & Expo Center,Sean Connery,Best Picture,NA,Titanic,NA,"James Cameron and Jon Landau, Producers","JON LANDAU:
 So this morning I woke up and couldn't wait for the day to be over. Now I don't want it to stop. I can't act and I can't compose and I can't do visual effects, so I guess that's why I'm producing. But I have a lot of people that I have to thank on behalf of both Jim and myself. I want to thank all the nominees here this evening, and all the people that again they've already thanked. Our incredible cast, we would not be here without you. My wife Julie, my sons Jamie and Jody. Rae Sanchini, who is absolutely one of the best people in this industry. My mom and dad, Edie and Ely. And now a run through our quick list of credits here: Josh McLaglen, Mali Finn, Gig Rackauskas, Simon Crane, Jimmy Muro, John Buckley, Lloyd Moriarity, Charles Lee, Martin Laing, Roger Barton, Charlie Arneson, Steve Quayle, Kevin De LaNoy, Lance Julian, Roger Hanna, Tommy Gordon, Les Collins, Tony Graysmark, Doug Fenton, Harry Heeks, Randy Gerston, Grant Hill, Sharon Mann and Anna Roth. This movie would not have been made except for the conviction and belief of Peter Chernin, Bill Mechanic, Tom Sherak, Jim Gianopulos, Tom Rothman, Sanford Panitch, Vicki Rossellini, Ted Gagliano, Mike Jenkinson, Jim Darbirian, Hilary Clark*, Jon Dolgen, Sherry Lansing, Rob Friedman, John Goldwyn, Arthur Cohen, Wayne Lewellen, Nancy Goliger, Blaise Noto, Greg Brilliant, John Rentsch, Allison Jackson, Maren Moebius, and Steve Panama*. We would not be here without an incredible screenwriter who wrote a great script, Jim Cameron.

 JIM CAMERON:
 I think Jon saw ""Shine"" too many times. He thanked everybody and did everything I was going to say. And my eyes are still sort of doing pinwheels from the last one, so I just want to say a couple of things. We're here tonight to celebrate the magic of movies. And I'm grateful every day to get to be a part of that magic and a practitioner in it, and I love it. And tonight has been such a great celebration for us. And it seems to somehow express this strange wave that's happened with ""Titanic,"" where people all over the world have opened their hearts to this movie. And that's so gratifying to all of us that worked on it and we'll be forever grateful to them, the audience, and I know a lot of you are watching at home.

 In the midst of all this euphoria, it's kind of hard for us to remember that this euphoria and the success is for a film that's based on a real event that happened, where real people died, that shocked the world in 1912. So I'd just like everybody to go with me just for a second on something here. I'd like to do a few seconds of silence in remembrance of the 1,500 men, women and children who died when the great ship died. The message of ""Titanic"" of course is, that if the great ship can sink, the unthinkable can happen, the future is unknowable, the only thing that we truly own is today. Life is precious. So during these few seconds I'd like you to also listen to the beating of your own heart which is the most precious thing in the world. Join me please in a few seconds of silence for ""Titanic"" . . . . Thank you very much. That's about as much as I'm sure Gil Cates can stand. All right, you've really made this a night to remember in every way. Now let's go party till dawn.
"
1997,70,1998-03-23,Shrine Auditorium & Expo Center,"Matt Damon, Ben Affleck",Short Film (Animated),NA,Geri's Game,NA,Jan Pinkava,"JAN PINKAVA:
 Well thank you, Academy, for honoring animated short films. Our film was made at Pixar Animation Studios by Karen Dufilho, Michael Kass, Tony DeRose, Leo Hourvitz, Dave Haumann, Holly Lloyd, and all the other very talented people. This is amazing to be up here. Thank you, John Lasseter. Thank you, Ed Catmull. Thank you, Darla Anderson, for making me so embarrassed right now. This is for you, Kay, and all you guys at Harrogate, and for all my family in Prague. Mami, to maš k narozeninám. That means ""Happy birthday, Mom."" It's her birthday today. Thank you.
"
1997,70,1998-03-23,Shrine Auditorium & Expo Center,"Matt Damon, Ben Affleck",Short Film (Live Action),NA,Visas and Virtue,NA,"Chris Tashima, Chris Donahue","CHRIS DONAHUE:
 I think the real hero tonight is Mr. Sugihara, who risked so much to write visas. He risked his life and his future and his family because he recognized human dignity. I'd like to thank my family, my mother and father and brothers and sisters, my Jesuit brothers in East L.A., Diana, and Chris, who wrote, directed, and acted.

 CHRIS TASHIMA:
 I hope we can begin to embrace every race. Diversity is the ingenue. She's the true American star and she's ready for her close-up. Tim Toyama, you should be holding this right now. Mom and Dad, thank you for giving me the freedom to dream. Thank you.
"
1997,70,1998-03-23,Shrine Auditorium & Expo Center,Cameron Diaz,Sound,NA,Titanic,NA,"Gary Rydstrom, Tom Johnson, Gary Summers, Mark Ulano","GARY RYDSTOM:
 The only time in my career I'm going to follow Robin Williams. Thank you to the Academy. Thank you most of all to Jim Cameron, whose passion for filmmaking makes all of us do our best work. And also, I think, with the great success of ""Titanic"" I hope that you attain the self-confidence you'll need to succeed in this business. I'd like to thank Jon Landau for the promise of points -- no. I'd like to thank Paramount and Fox studios. Gloria Borders and everyone at Skywalker Sound. Tom Bellfort, Chris Boyes, their great editing crew, especially Ethan Van der Ryn, Gwen Whittle, and Hugh Waddell. Thanks to Lora Hirschberg; James Horner, for his beautiful music; Jim Henrikson; Joe E. Rand; Shawn Murphy.

 MARK ULANO:
 Thanks, Jim.
"
1997,70,1998-03-23,Shrine Auditorium & Expo Center,"Mike Myers, ""Bart the Bear""",Sound Effects Editing,NA,Titanic,NA,"Tom Bellfort, Christopher Boyes","TOM BELLFORT:
 For the ""Titanic"" achievement Chris and I are indebted to the sound and mixing crew at Skywalker Sound, and to the foley editors and artists at Paramount. I thank Ted Gagliano at Fox, and my wonderful wife, Victoria. Jim, although the seas were a little rough at times, I really thank you for this voyage and for building a ship that will last forever. Thank you. Chris...

 CHRISTOPHER BOYES:
 I'm more overwhelmed now than I was the first time I met Jim Cameron. I want to thank you for demanding nothing less than my excellence. I'd also like to thank Jon Landau, Gloria Borders, for giving me the time and support. Ethan Van der Ryn, my life-long friend. And Gary Rydstrom, my mentor and very good friend. Thank you very much. My wife Molly.
"
1997,70,1998-03-23,Shrine Auditorium & Expo Center,Helen Hunt,Visual Effects,NA,Titanic,NA,"Robert Legato, Mark Lasoff, Thomas L. Fisher, Michael Kanfer","ROBERT LEGATO:
 Well, this winning thing is pretty damn okay, that's all I can say. I'd like to absolutely thank Jim Cameron for letting us be a part of motion picture history. It's just fantastic. Jon Landau and Rae Sanchini, thanks for the incredible support. I want to be the first to congratulate Digital Domain, Cari Thomas, Mark Forker, Erik Nash, our friends at VIFX for Academy Award-winning work on this film. And I'd like to thank my lovely wife Cynthia.

 THOMAS L. FISHER:
 I'd really like to thank my entire crew. Without them I couldn't be here. Thank you.
"
1997,70,1998-03-23,Shrine Auditorium & Expo Center,"Jack Lemmon, Walter Matthau",Writing (Screenplay Based on Material Previously Produced or Published),NA,L.A. Confidential,NA,"Brian Helgeland, Curtis Hanson","BRIAN HELGELAND:
 My sons relentlessly play with action figures at home and I am constantly left out, and that's all going to end tonight because I'm bringing this guy home. And just for Kansas City tonight, this is from now on going to be called an ""Ellroy"" in my house. Thank you very much.

 CURTIS HANSON:
 To be handed this by two actors whom I will always associate with Billy Wilder makes it all the sweeter. I want to acknowledge James Ellroy, who wrote the novel which was our inspiration and our challenge. A screenplay is just words on paper. We had an extraordinary ensemble of actors in ""L.A. Confidential"" who took our lines, gave them emotion, humor, life. I want to thank the Academy for this Oscar. And I want to thank the actors of ""L.A. Confidential"" for making Brian and me look so good. Thank you.
"
1997,70,1998-03-23,Shrine Auditorium & Expo Center,"Jack Lemmon, Walter Matthau",Writing (Screenplay Written Directly for the Screen),NA,Good Will Hunting,NA,"Ben Affleck, Matt Damon","BEN AFFLECK (with comments by MATT DAMON):
 I just said to Matt, losing would suck and winning would be really scary. It's really, really scary. We're just really two young guys who were fortunate enough to be involved with a lot of great people whom it's incumbent upon us -- there's no way we're doing this in less than twenty seconds -- upon whom it's incumbent of us to thank. Harvey Weinstein, who believed in us and made this movie. Gus Van Sant, for brilliant direction. Robin Williams, who delivered such great lines. Minnie Driver, whose performance was brilliant. Stellan Skarsgard, who was great. (Your brother.) My brother Casey, who's brilliant in the movie. (Cole Hauser.) Cole Hauser. My mother (Jon Gordon) and Matt's mother, (my mom) the most beautiful women here. (My dad right over there. Jack said hi to you. Alright!) Shhh... (Jon Gordon from Miramax.) Jon Gordon. Chris Moore (Chris Moore!), who produced the movie (Chris Moore!). Patrick Whitesell, the best agent in Hollywood! (Yeah! Patrick Whitesell!) And Cuba Gooding, for showing us how to give [an] alright acceptance speech! (All our friends and family! And everybody back in Boston watching us tonight!) And thank you so much to the city of Boston... And I know we're forgetting somebody. (Whoever we forgot we love you! We love you!) Thank you! Thank you so much!
"
1997,70,1998-03-23,Shrine Auditorium & Expo Center,Martin Scorsese,Honorary Award,"in appreciation of a body of work marked by grace, elegance, wit and visual innovation.",NA,NA,Stanley Donen,"STANLEY DONEN:
 Marty, it's backwards, I should be giving this to you, believe me. And I want to thank the Board of Governors for this cute little fella which to me looks titanic. Tonight, words seem inadequate. In musicals that's when we do a song, so... [music begins, singing:]

 Heaven, I'm in heaven,
 and my heart beats so that I can hardly speak,
 and I seem to find the happiness I seek,
 when we're out together dancing cheek to cheek.

 [Does a brief tap dance; continues speaking with the music.]

 I'm going to let you in on the secret of being a good director. For the script you get Larry Gelbart, or Peter Stone, or Huyck and Katz, or Frederic Raphael -- like that. If it's a musical, for the songs you get George and Ira Gershwin, or Arthur Freed and Herb Brown, or Leonard Bernstein and Comden and Green, or Alan Lerner and Fritz Loewe -- like that. Then you cast Cary Grant, or Audrey Hepburn, Fred Astaire, Gene Kelly, Sophia Loren, Richard Burton, Rex Harrison, Gregory Peck, Elizabeth Taylor, Burt Reynolds, Gene Hackman or Frank Sinatra -- like that. When filming starts you show up and you stay the hell out of the way. But you've got to show up, you've got to show up. Otherwise you can't take the credit and get one of these fellas. Thank you very much.
"
1998,71,1999-03-21,Dorothy Chandler Pavilion,Helen Hunt,Actor in a Leading Role,NA,Life Is Beautiful,NA,Roberto Benigni,"ROBERTO BENIGNI:
 Thank you! This is a terrible mistake because I used up all my English. I don't know! I am not able to express all my gratitude, because now, my body is in tumult because it is a colossal moment of joy so everything is really in a way that I cannot express. I would like to be Jupiter! And kidnap everybody and lie down in the firmament making love to everybody, because I don't know how to express. It's a question of love. You are really -- this is a mountain of snow, so delicate, the suavity and the kindness, it is something I cannot forget, from the bottom of my heart. And thank you for the Academy Awards for the, who really loved the movie. Thank you to all in Italy, for the Italian cinema, grazie al Italia who made me. I am really, I owe to them all my, if I did something good. So grazie al Italia e grazie al America, land of the lot of things here. Thank you very much. And I hope, really I don't deserve this, but I hope to win some other Oscars! Thank you! Thank you very much! Thank you!
"
1998,71,1999-03-21,Dorothy Chandler Pavilion,Kim Basinger,Actor in a Supporting Role,NA,Affliction,NA,James Coburn,"JAMES COBURN:
 My, my, my. Wow. You know, I've been around here -- I've been working and doing this work for like over half my life. And I finally got one right, I guess. See, some of them you do for money, some of them you do for love. This is a love child. Paul Schrader put together -- Paul and Nick actually put together ""Affliction."" I mean, it was a beautiful script. We had an extraordinary cast -- Nick, Sissy Spacek, Willem Dafoe, Mary Beth Hurt -- in a screenplay second to none. I'd like to thank all of those people. Plus Linda Reisman produced it for us. Largo paid for it. Lions Gate released it. I'd like to thank Hilly Elkins, my manager, and Bobby Littman, my agent, my publicists Delson and Weissman. I'd like to say thanks to all the people up in Santa Barbara where I'm working on a thing called ""Atticus."" Thank you, gang, for giving me Monday off. My kids, I say thanks to my kids... [music begins] Wait a minute! Wait a minute! I've got to say something else here! This, for my beautiful wife Paula. She finally got to come to the Academy Awards. This is for you, baby!
"
1998,71,1999-03-21,Dorothy Chandler Pavilion,Jack Nicholson,Actress in a Leading Role,NA,Shakespeare in Love,NA,Gwyneth Paltrow,"GWYNETH PALTROW:
 I would like to thank the Academy from the bottom of my heart. I would like to thank Emily Watson, and Fernanda Montenegro, and my friend Cate Blanchett, and the greatest one who ever was, Meryl Streep. I don't feel very deserving of this in your presence.

 But I would like to thank Harvey Weinstein and everybody at Miramax Films for their undying support of me. I would like to -- I wouldn't be in this auditorium, let alone up here, if it wasn't for two incredibly talented men. Our director John Madden, thank you so much for all that you gave me. You are so inspiring. And to my soulful partner, Joseph Fiennes, who I share this with. I wouldn't be here without him. I would like to thank the rest of our miraculous cast and crew. Our producers Donna Gigliotti and David Parfitt -- I didn't forget you this time! Especially Jim Magill and Sophie Shand and my friend Ben Affleck. I would like to thank my wonderful agent Rick Kurtzman who is a beautiful man and a wonderful agent and in his case that is not an oxymoron. I would like to thank Harold Brown, Stuart Gelwarg*, and Stephen Huvane.

 I would not have been able to play this role had I not understood love of a tremendous magnitude, and for that I thank my family. My mother Blythe Danner, who I love more than anything, and my brother Jake Paltrow, who is just the dearest person in the whole world. My earthly guardian angel, Mary Wigmore*. And especially to my father Bruce Paltrow, who has surmounted insurmountable obstacles this year. I love you more than anything in the world. And to my grandpa Buster, who almost made it here tonight, but couldn't quite get here. Grandpa, I want you to know that you have created a beautiful family who loves you and loves each other more than anything, and we thank you for that.

 I would like to dedicate this to two young men who lost their lives very early. Harrison Kravis and my cousin Keith Paltrow. We miss you very much. And I thank you. Thank you so much, everybody!
"
1998,71,1999-03-21,Dorothy Chandler Pavilion,Robin Williams,Actress in a Supporting Role,NA,Shakespeare in Love,NA,Judi Dench,"JUDI DENCH:
 I feel for eight minutes on the screen I should only get a little bit of him. I do thank the Academy very much indeed. I do think also that the best bit about the Academy Awards is being nominated. You live in a kind of haze for several weeks, and the terrible thing is that somebody's got to win. My heart goes out to all the other four who didn't. And also, my admiration.

 I do have to thank John Madden and Tom Stoppard and Marc Norman, as I actually wrote to John Madden after ""Mrs. Brown"" and said, I will do anything in your next film. If you want somebody to slouch in a doorway, you can count on me. And I mean it, and I hope he bears me in mind next time. I do thank you all very much indeed. I am very moved by it. Thank you.
"
1998,71,1999-03-21,Dorothy Chandler Pavilion,Gwyneth Paltrow,Art Direction,NA,Shakespeare in Love,NA,Art Direction: Martin Childs; Set Decoration: Jill Quertier,"MARTIN CHILDS:
 Oh boy, I made notes. This is an honor, isn't it? We had a lot of fun making this movie. And we'd love to thank the art department: Mark Raggett, Fran Bennett, Steve Lawrence and all the other heroes, all the other ""Shakespearoes."" Andy Evans and his brilliant team of craftsmen. Location manager Rachel Neale. Gill Ducker and Danny and Kevin and the props boys. Oh, Judi Dench, for her wonderful news that the Rose Theatre will survive. The set is being rebuilt beam by beam, and it's going to last forever this time. Oh, wrap up -- the asteroid's coming. Elaine, and Richard Greatrex, John Madden, and the Academy, for giving us this fantastic thing. Thank you very much.

 JILL QUERTIER:
 Thank you very much.
"
1998,71,1999-03-21,Dorothy Chandler Pavilion,Uma Thurman,Cinematography,NA,Saving Private Ryan,NA,Janusz Kaminski,"JANUSZ KAMINSKI:
 Thank you very much. Behind the hand-held camera there are people, and that's Mitch Dubin, Seamus and Chris Haarhoff. And I want to thank you very much. I want to thank the producers; of course the actors; Steven, the great collaborator; my sugar bear Holly.
"
1998,71,1999-03-21,Dorothy Chandler Pavilion,Whoopi Goldberg,Costume Design,NA,Shakespeare in Love,NA,Sandy Powell,"SANDY POWELL:
 I'd like to congratulate Whoopi for having the guts to wear that ""Velvet Goldmine"" costume. Two nominations, one speech. I want to thank everybody I worked with on both films. There are too many names, it would be too boring. But really, this mostly is my brilliant, fantastic team that worked with me on everything. Thank you, everybody. Thank you.
"
1998,71,1999-03-21,Dorothy Chandler Pavilion,Kevin Costner,Directing,NA,Saving Private Ryan,NA,Steven Spielberg,"STEVEN SPIELBERG:
 Thank you. Am I allowed to say I really wanted this? This is fantastic. Let me just turn my eyes to Mr. Hanks who from the very, very beginning said to me, this is going to be something extraordinary. We weren't really talking about the film, we were talking about the experience of making ""Saving Private Ryan,"" and he was right. It is one of the most extraordinary events of all of our lives, and the lives of all of our families, we were all in it together. Katie, for putting up with how much I've worried about this movie for the last eighteen months. Thank you for letting me be a neurotic at home. And all my children. I have two kids here tonight and they've never been to the Oscars before and I'm really happy I had a chance to make Max and Theo proud of their dad, and they're sitting up there somewhere. Thank you, kids, very, very much. And my other kids at home, Mikaela and Destry and Sasha and Sawyer, and Jessica who is here, too.

 This has just been an amazing experience and what I'd like to do is just thank very, very sincerely the families who lost sons in World War II. I want to thank the Niland family and the Sullivan families, and I want to thank all the families who incurred these tremendous losses. In this war we tried to show a story of one such family, and it turned up there were many such families, unfortunately. And Dad, you're the greatest. Thank you for showing me that there is honor in looking back and respecting the past. I love you very much. This is for you. Thank you.
"
1998,71,1999-03-21,Dorothy Chandler Pavilion,"Matt Damon, Ben Affleck",Documentary (Feature),NA,The Last Days,NA,"James Moll, Ken Lipper","JAMES MOLL:
 Thank you. On behalf of the producer of the film, June Beallor, who I share this honor with, and the other producer of the film, Ken Lipper, and everybody involved with the making of ""The Last Days,"" we want to thank the five amazing Shoah survivors who shared their truly inspirational lives with us. We also want to thank Evelyn Lipper, Anne Marie Stein, and of course October Films and Good Machine for getting this film seen around the world. And last but not least, certainly but not least, our executive producer Steven Spielberg, for his strength of character and his vision in establishing the Shoah Foundation, videotaping more than 50,000 survivor testimonies all over the world and ensuring through those testimonies and through this film that survivors will have a voice for generations to come. Thank you.
"
1998,71,1999-03-21,Dorothy Chandler Pavilion,"Matt Damon, Ben Affleck",Documentary (Short Subject),NA,The Personals: Improvisations on Romance in the Golden Years,NA,Keiko Ibi,"KEIKO IBI:
 Thank you. Who would have thought a girl from Japan can make a movie about Jewish senior citizens and actually receive this award. Thank you. I'm extremely grateful to Seth Glassman and my wonderful, wonderful seniors in my movie. And extra special, special thanks to Sheila Nevins of HBO, and my editor Milton Ginsberg, who's here up there somewhere, and my cinematographer, my co-filmmaker, my husband, Greg Pak. And I would also like to thank the Academy for recognizing the short documentary films. And I hope that you will continue to do so. And finally, my mother, for letting me come to the United States so I can follow my dream to become a filmmaker. Thank you.
"
1998,71,1999-03-21,Dorothy Chandler Pavilion,Jim Carrey,Film Editing,NA,Saving Private Ryan,NA,Michael Kahn,"MICHAEL KAHN:
 Wow, thank you very much. I feel so proud to have played a role in the making of this historical motion picture. I'm so grateful to you, Steven, for giving me the opportunity to excel and grow as a person on this humbling World War II movie. Thank you. I'm also grateful to my family. Chickie, my wife, and Julie, Ken, and Adam and Allison Zunder, for their love and support during this war effort. And special good wishes to my brother and sister, Lee* and Mickey, on the east coast. I'm very honored. Thank you very much.
"
